+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |       NEW |
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |       NEW |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |       NEW |
|                 0 |  3 |       NEW |     READY |
|                 0 |  4 |       NEW |       NEW |
|                 0 |  4 |       NEW |     READY |
|                 0 |  5 |       NEW |       NEW |
|                 0 |  5 |       NEW |     READY |
|                 0 |  5 |     READY |   RUNNING |
|                 1 |  5 |   RUNNING |TERMINATED |
|                 1 |  1 |     READY |   RUNNING |
|                 2 |  1 |   RUNNING |TERMINATED |
|                 2 |  2 |     READY |   RUNNING |
|                 3 |  2 |   RUNNING |   WAITING |
|                 3 |  3 |     READY |   RUNNING |
|                 4 |  3 |   RUNNING |TERMINATED |
|                 4 |  2 |   WAITING |     READY |
|                 4 |  2 |     READY |   RUNNING |
|                 5 |  2 |   RUNNING |TERMINATED |
|                 5 |  4 |     READY |   RUNNING |
|                 6 |  4 |   RUNNING |TERMINATED |
+------------------------------------------------+
